"filename", "language", "Python", "comment", "blank", "total"
"/home/joona/tira_labra/src/main.py", "Python", 129, 19, 24, 172
"/home/joona/tira_labra/src/mnist_data_processor.py", "Python", 15, 3, 10, 28
"/home/joona/tira_labra/src/network/__init__.py", "Python", 0, 0, 1, 1
"/home/joona/tira_labra/src/network/layers/__init__.py", "Python", 0, 0, 1, 1
"/home/joona/tira_labra/src/network/layers/classifier.py", "Python", 17, 18, 12, 47
"/home/joona/tira_labra/src/network/layers/convolutional_layer.py", "Python", 91, 20, 20, 131
"/home/joona/tira_labra/src/network/layers/fully_connected_layer.py", "Python", 106, 46, 26, 178
"/home/joona/tira_labra/src/network/layers/input_layer.py", "Python", 15, 17, 9, 41
"/home/joona/tira_labra/src/network/layers/pooling_layer.py", "Python", 43, 3, 10, 56
"/home/joona/tira_labra/src/network/neural_network.py", "Python", 286, 84, 76, 446
"/home/joona/tira_labra/src/network/non_linearity.py", "Python", 12, 11, 7, 30
"/home/joona/tira_labra/src/tests/neural_network_tests/__init__.py", "Python", 0, 0, 1, 1
"/home/joona/tira_labra/src/tests/neural_network_tests/classifier_test.py", "Python", 38, 0, 18, 56
"/home/joona/tira_labra/src/tests/neural_network_tests/layers_tests/__init__.py", "Python", 0, 0, 1, 1
"/home/joona/tira_labra/src/tests/neural_network_tests/layers_tests/convolutional_layer_test.py", "Python", 77, 5, 22, 104
"/home/joona/tira_labra/src/tests/neural_network_tests/layers_tests/fully_connected_layer_test.py", "Python", 0, 0, 1, 1
"/home/joona/tira_labra/src/tests/neural_network_tests/layers_tests/pooling_layer_test.py", "Python", 32, 1, 15, 48
"/home/joona/tira_labra/src/tests/neural_network_tests/neural_network_test.py", "Python", 26, 1, 11, 38
"/home/joona/tira_labra/src/tests/neural_network_tests/non_linearity_test.py", "Python", 21, 0, 8, 29
"Total", "-", 908, 228, 273, 1409